# Directed graph (each unordered pair of nodes is saved once): facebook_combined.txt

# Information about the newly-created network is:
Name: 
Type: Graph
(571, 1.0) 
(572, 1.0) 
(581, 1.0) 
(586, 1.0) 
(642, 1.0) 
(648, 1.0) 
(652, 1.0) 
(656, 1.0) 
(660, 1.0) 
(667, 1.0) 
(673, 1.0) 
(699, 1.0) 
(717, 1.0) 
(743, 1.0) 
(744, 1.0) 
(749, 1.0) 
(750, 1.0) 
(775, 1.0) 
(785, 1.0) 
(802, 1.0) 
(841, 1.0) 
(851, 1.0) 
(852, 1.0) 
(854, 1.0) 
(855, 1.0) 
(858, 1.0) 
(859, 1.0) 
(865, 1.0) 
(868, 1.0) 
(873, 1.0) 
(877, 1.0) 
(887, 1.0) 
(888, 1.0) 
(899, 1.0) 
(910, 1.0) 
(945, 1.0) 
(1016, 1.0) 
(1027, 1.0) 
(1034, 1.0) 
(1046, 1.0) 
(1065, 1.0) 
(1071, 1.0) 
(1176, 1.0) 
(1208, 1.0) 
(1224, 1.0) 
(1233, 1.0) 
(1252, 1.0) 
(1253, 1.0) 
(1262, 1.0) 
(1270, 1.0) 
(1276, 1.0) 
(1326, 1.0) 
(1346, 1.0) 
(1362, 1.0) 
(1372, 1.0) 
(1383, 1.0) 
(1394, 1.0) 
(1395, 1.0) 
(1403, 1.0) 
(1430, 1.0) 
(1455, 1.0) 
(1486, 1.0) 
(1521, 1.0) 
(1546, 1.0) 
(1558, 1.0) 
(1586, 1.0) 
(1627, 1.0) 
(1651, 1.0) 
(1657, 1.0) 
(1690, 1.0) 
(1755, 1.0) 
(1762, 1.0) 
(1776, 1.0) 
(1854, 1.0) 
(1856, 1.0) 
(1967, 1.0) 
(1969, 1.0) 
(2100, 1.0) 
(2167, 1.0) 
(2168, 1.0) 
(2204, 1.0) 
(2219, 1.0) 
(2375, 1.0) 
(2380, 1.0) 
(2382, 1.0) 
(2431, 1.0) 
(2441, 1.0) 
(2483, 1.0) 
(2505, 1.0) 
(2517, 1.0) 
(2541, 1.0) 
(2595, 1.0) 
(2671, 1.0) 
(2691, 1.0) 
(2704, 1.0) 
(2721, 1.0) 
(2722, 1.0) 
(2736, 1.0) 
(2740, 1.0) 
(2767, 1.0) 
(2788, 1.0) 
(2792, 1.0) 
(2808, 1.0) 
(2814, 1.0) 
(2817, 1.0) 
(2824, 1.0) 
(2838, 1.0) 
(2855, 1.0) 
(2857, 1.0) 
(2860, 1.0) 
(2885, 1.0) 
(2902, 1.0) 
(2922, 1.0) 
(2980, 1.0) 
(3003, 1.0) 
(3006, 1.0) 
(3037, 1.0) 
(3059, 1.0) 
(3091, 1.0) 
(3125, 1.0) 
(3134, 1.0) 
(3147, 1.0) 
(3268, 1.0) 
(3282, 1.0) 
(3317, 1.0) 
(3336, 1.0) 
(3372, 1.0) 
(3376, 1.0) 
(3401, 1.0) 
(3407, 1.0) 
(3408, 1.0) 
(3413, 1.0) 
(3445, 1.0) 
(3467, 1.0) 
(3489, 1.0) 
(3560, 1.0) 
(3565, 1.0) 
(3572, 1.0) 
(3575, 1.0) 
(3582, 1.0) 
(3589, 1.0) 
(3597, 1.0) 
(3653, 1.0) 
(3669, 1.0) 
(3676, 1.0) 
(3686, 1.0) 
(3688, 1.0) 
(3689, 1.0) 
(3691, 1.0) 
(3699, 1.0) 
(3700, 1.0) 
(3704, 1.0) 
(3716, 1.0) 
(3717, 1.0) 
(3732, 1.0) 
(3733, 1.0) 
(3744, 1.0) 
(3746, 1.0) 
(3765, 1.0) 
(3807, 1.0) 
(3808, 1.0) 
(3811, 1.0) 
(3813, 1.0) 
(3844, 1.0) 
(3846, 1.0) 
(3854, 1.0) 
(3864, 1.0) 
(3875, 1.0) 
(3879, 1.0) 
(3885, 1.0) 
(3897, 1.0) 
(3899, 1.0) 
(3910, 1.0) 
(3911, 1.0) 
(3922, 1.0) 
(3939, 1.0) 
(3942, 1.0) 
(3955, 1.0) 
(3959, 1.0) 
(3965, 1.0) 
(3983, 1.0) 
(3987, 1.0) 
(3990, 1.0) 
(3992, 1.0) 
(4001, 1.0) 
(4003, 1.0) 
(4005, 1.0) 
(4006, 1.0) 
(4007, 1.0) 
(4012, 1.0) 
(4016, 1.0) 
(4025, 1.0) 
(4028, 1.0) 
(4029, 1.0) 
(4032, 1.0) 
(4033, 1.0) 
(4034, 1.0) 
(4036, 1.0) 
(595, 0.9883040935672515) 
(3639, 0.9848484848484849) 
(3919, 0.9848484848484849) 
(3668, 0.9818181818181818) 
(576, 0.978021978021978) 
(2252, 0.9777777777777777) 
(3766, 0.9777777777777777) 
(582, 0.9761904761904762) 
(3783, 0.9743589743589743) 
(139, 0.9722222222222222) 
(1111, 0.9722222222222222) 
(1631, 0.9722222222222222) 
(3876, 0.9722222222222222) 
(1892, 0.9696969696969697) 
(3581, 0.9696969696969697) 
(3594, 0.9696969696969697) 
(882, 0.9642857142857143) 
(886, 0.9642857142857143) 
(1414, 0.9642857142857143) 
(1775, 0.9642857142857143) 
(2732, 0.9642857142857143) 
(2799, 0.9642857142857143) 
(2930, 0.9642857142857143) 
(3126, 0.9642857142857143) 
(3131, 0.9642857142857143) 
(3180, 0.9642857142857143) 
(3181, 0.9642857142857143) 
(3266, 0.9642857142857143) 
(3322, 0.9642857142857143) 
(3871, 0.9642857142857143) 
(36, 0.9636363636363636) 
(3311, 0.9636363636363636) 
(3857, 0.9636363636363636) 
(3708, 0.9619047619047619) 
(3975, 0.9619047619047619) 
(64, 0.9523809523809523) 
(189, 0.9523809523809523) 
(263, 0.9523809523809523) 
(296, 0.9523809523809523) 
(577, 0.9523809523809523) 
(872, 0.9523809523809523) 
(874, 0.9523809523809523) 
(2982, 0.9523809523809523) 
(3424, 0.9523809523809523) 
(3008, 0.95) 
(3352, 0.9487179487179487) 
(1186, 0.9485294117647058) 
(298, 0.9454545454545454) 
(380, 0.9454545454545454) 
(1905, 0.9454545454545454) 
(3516, 0.945054945054945) 
(466, 0.9444444444444444) 
(928, 0.9444444444444444) 
(1490, 0.9444444444444444) 
(3122, 0.9444444444444444) 
(3218, 0.9444444444444444) 
(3354, 0.9444444444444444) 
(3666, 0.9444444444444444) 
(1439, 0.9428571428571428) 
(3465, 0.9416666666666667) 
(3579, 0.9416666666666667) 
(706, 0.9411764705882353) 
(79, 0.9393939393939394) 
(381, 0.9393939393939394) 
(2609, 0.9379251700680272) 
(2699, 0.9358974358974359) 
(6, 0.9333333333333333) 
(147, 0.9333333333333333) 
(715, 0.9333333333333333) 
(878, 0.9333333333333333) 
(2621, 0.9333333333333333) 
(2774, 0.9333333333333333) 
(2879, 0.9333333333333333) 
(2899, 0.9333333333333333) 
(3055, 0.9333333333333333) 
(3058, 0.9333333333333333) 
(3074, 0.9333333333333333) 
(3127, 0.9333333333333333) 
(3175, 0.9333333333333333) 
(3270, 0.9333333333333333) 
(3749, 0.9333333333333333) 
(3848, 0.9333333333333333) 
(3936, 0.9333333333333333) 
(670, 0.932806324110672) 
(399, 0.9285714285714286) 
(441, 0.9285714285714286) 
(501, 0.9285714285714286) 
(1506, 0.9285714285714286) 
(2548, 0.9285714285714286) 
(375, 0.9264705882352942) 
(1493, 0.9261538461538461) 
(628, 0.9242424242424242) 
(3541, 0.9242424242424242) 
(958, 0.9239130434782609) 
(3479, 0.9238095238095239) 
(3562, 0.9238095238095239) 
(3613, 0.9238095238095239) 
(3649, 0.9238095238095239) 
(3695, 0.9238095238095239) 
(3883, 0.9238095238095239) 
(1568, 0.9236453201970444) 
(3481, 0.9230769230769231) 
(3523, 0.9230769230769231) 
(3715, 0.9230769230769231) 
(665, 0.9215686274509803) 
(640, 0.9209486166007905) 
(1319, 0.9202279202279202) 
(3423, 0.9166666666666666) 
(3815, 0.9142857142857143) 
(3889, 0.9142857142857143) 
(1005, 0.9120879120879121) 
(3675, 0.9120879120879121) 
(3874, 0.9120879120879121) 
(3382, 0.9117647058823529) 
(587, 0.9111111111111111) 
(979, 0.9111111111111111) 
(3892, 0.9102564102564102) 
(1648, 0.91) 
(268, 0.9090909090909091) 
(2496, 0.9090909090909091) 
(3367, 0.9090909090909091) 
(2444, 0.9083333333333333) 
(599, 0.9051383399209486) 
(129, 0.9047619047619048) 
(151, 0.9047619047619048) 
(167, 0.9047619047619048) 
(632, 0.9047619047619048) 
(869, 0.9047619047619048) 
(2094, 0.9047619047619048) 
(2245, 0.9047619047619048) 
(2256, 0.9047619047619048) 
(2632, 0.9047619047619048) 
(3655, 0.9047619047619048) 
(4018, 0.9047619047619048) 
(254, 0.9044117647058824) 
(578, 0.9021739130434783) 
(627, 0.9021739130434783) 
(658, 0.9021739130434783) 
(659, 0.9021739130434783) 
(2606, 0.9012612612612613) 
(675, 0.9011857707509882) 
(3567, 0.9010989010989011) 
(24, 0.9) 
(27, 0.9) 
(349, 0.9) 
(610, 0.9) 
(671, 0.9) 
(929, 0.9) 
(1579, 0.9) 
(1777, 0.9) 
(2230, 0.9) 
(2422, 0.9) 
(3283, 0.9) 
(3310, 0.9) 
(3314, 0.9) 
(3429, 0.9) 
(3444, 0.9) 
(3735, 0.9) 
(3849, 0.9) 
(3925, 0.9) 
(505, 0.8974358974358975) 
(2554, 0.895278167367929) 
(3912, 0.8952380952380953) 
(662, 0.894927536231884) 
(1802, 0.8939393939393939) 
(1822, 0.8939393939393939) 
(3281, 0.8939393939393939) 
(3788, 0.8939393939393939) 
(3840, 0.8939393939393939) 
(385, 0.8928571428571429) 
(672, 0.8928571428571429) 
(725, 0.8928571428571429) 
(1865, 0.8928571428571429) 
(2898, 0.8928571428571429) 
(3398, 0.8928571428571429) 
(3647, 0.8928571428571429) 
(3932, 0.8928571428571429) 
(3981, 0.8928571428571429) 
(635, 0.8917748917748918) 
(650, 0.8917748917748918) 
(2532, 0.891644204851752) 
(140, 0.8909090909090909) 
(863, 0.8909090909090909) 
(876, 0.8909090909090909) 
(2568, 0.8909090909090909) 
(2652, 0.8903061224489796) 
(3595, 0.8901098901098901) 
(2, 0.8888888888888888) 
(861, 0.8888888888888888) 
(3308, 0.8888888888888888) 
(3368, 0.8888888888888888) 
(2306, 0.888432364096081) 
(3630, 0.8846153846153846) 
(2274, 0.8840336134453781) 
(2579, 0.8835082458770614) 
(2503, 0.8833333333333333) 
(2479, 0.8830917874396135) 
(266, 0.8823529411764706) 
(681, 0.8814229249011858) 
(2046, 0.880714380914301) 
(600, 0.8804347826086957) 
(643, 0.8804347826086957) 
(661, 0.8804347826086957) 
(66, 0.8761904761904762) 
(2415, 0.875609756097561) 
(2959, 0.875) 
(3757, 0.875) 
(3920, 0.875) 
(2591, 0.8739035087719298) 
(2900, 0.8727272727272727) 
(3598, 0.8727272727272727) 
(2418, 0.8723843206601827) 
(762, 0.8717948717948718) 
(2469, 0.8715312327252626) 
(1363, 0.8714285714285714) 
(1963, 0.8686730506155951) 
(2077, 0.8679365079365079) 
(2407, 0.866956077630235) 
(4, 0.8666666666666667) 
(95, 0.8666666666666667) 
(181, 0.8666666666666667) 
(275, 0.8666666666666667) 
(583, 0.8666666666666667) 
(1297, 0.8666666666666667) 
(1788, 0.8666666666666667) 
(1924, 0.8666666666666667) 
(3751, 0.8666666666666667) 
(1953, 0.8665866986538718) 
(615, 0.8659420289855072) 
(2552, 0.8650257400257401) 
(919, 0.8645320197044335) 
(575, 0.8636363636363636) 
(3498, 0.8627450980392157) 
(529, 0.8611111111111112) 
(690, 0.8611111111111112) 
(808, 0.8611111111111112) 
(3334, 0.8611111111111112) 
(3338, 0.8611111111111112) 
(3427, 0.8611111111111112) 
(2386, 0.8609112709832134) 
(2972, 0.8602941176470589) 
(1468, 0.8602150537634409) 
(3819, 0.8589743589743589) 
(187, 0.8583333333333333) 
(2320, 0.8583333333333333) 
(2465, 0.8576271186440678) 
(2477, 0.8574589127686473) 
(51, 0.8571428571428571) 
(83, 0.8571428571428571) 
(93, 0.8571428571428571) 
(162, 0.8571428571428571) 
(208, 0.8571428571428571) 
(221, 0.8571428571428571) 
(237, 0.8571428571428571) 
(509, 0.8571428571428571) 
(621, 0.8571428571428571) 
(679, 0.8571428571428571) 
(689, 0.8571428571428571) 
(791, 0.8571428571428571) 
(937, 0.8571428571428571) 
(1640, 0.8571428571428571) 
(1731, 0.8571428571428571) 
(1978, 0.8571428571428571) 
(1992, 0.8571428571428571) 
(2528, 0.8571428571428571) 
(2599, 0.8571428571428571) 
(3389, 0.8571428571428571) 
(3696, 0.8571428571428571) 
(3973, 0.8571428571428571) 
(2359, 0.8568632932625104) 
(2703, 0.8562091503267973) 
(1378, 0.8548387096774194) 
(491, 0.8545454545454545) 
(2177, 0.8545454545454545) 
(2489, 0.8537556247836622) 
(2307, 0.8533941236068896) 
(3837, 0.8529411764705882) 
(1989, 0.8524458700882117) 
(2179, 0.8522077327842599) 
(2287, 0.8520632133450395) 
(2021, 0.8516129032258064) 
(2109, 0.8515201768933113) 
(2312, 0.85) 
(2563, 0.8492076730608841) 
(1853, 0.8484848484848485) 
(2654, 0.8481236203090508) 
(2212, 0.8480986639260021) 
(2098, 0.8480695549661067) 
(2270, 0.8476190476190476) 
(3371, 0.8476190476190476) 
(3476, 0.8476190476190476) 
(2613, 0.8473118279569892) 
(1997, 0.847208402432283) 
(2086, 0.8471677559912854) 
(1601, 0.8467741935483871) 
(2136, 0.8467234357645317) 
(3657, 0.8461538461538461) 
(2237, 0.8456595856281144) 
(3519, 0.8455882352941176) 
(2216, 0.8452950558213717) 
(1232, 0.8448275862068966) 
(225, 0.8444444444444444) 
(429, 0.8444444444444444) 
(955, 0.8444444444444444) 
(1368, 0.8444444444444444) 
(3053, 0.8444444444444444) 
(3641, 0.8444444444444444) 
(2467, 0.8441264162194395) 
(2115, 0.8441176470588235) 
(2770, 0.8439024390243902) 
(2261, 0.8433866279069767) 
(2213, 0.8431372549019608) 
(2353, 0.8429548563611491) 
(1333, 0.8428030303030303) 
(1929, 0.8426490066225165) 
(2484, 0.8419047619047619) 
(2108, 0.8411641478377974) 
(1382, 0.8402439024390244) 
(2539, 0.8396711202466598) 
(2549, 0.8392080745341615) 
(1508, 0.8390151515151515) 
(2408, 0.8390092879256966) 
(3587, 0.8382352941176471) 
(1848, 0.8380952380952381) 
(2513, 0.8380952380952381) 
(3472, 0.8380952380952381) 
(3739, 0.8380952380952381) 
(2141, 0.8369565217391305) 
(2573, 0.8367898222377135) 
(2122, 0.8367501180916391) 
(2308, 0.836641852770885) 
(2816, 0.8363636363636363) 
(2852, 0.8363636363636363) 
(3063, 0.8363636363636363) 
(2055, 0.8359969558599696) 
(2370, 0.8352817866645167) 
(844, 0.8351648351648352) 
(1137, 0.8349753694581281) 
(2433, 0.8347777467151244) 
(68, 0.8333333333333334) 
(174, 0.8333333333333334) 
(270, 0.8333333333333334) 
(288, 0.8333333333333334) 
(289, 0.8333333333333334) 
(384, 0.8333333333333334) 
(552, 0.8333333333333334) 
(598, 0.8333333333333334) 
(790, 0.8333333333333334) 
(811, 0.8333333333333334) 
(832, 0.8333333333333334) 
(884, 0.8333333333333334) 
(893, 0.8333333333333334) 
(894, 0.8333333333333334) 
(1002, 0.8333333333333334) 
(1022, 0.8333333333333334) 
(1031, 0.8333333333333334) 
(1105, 0.8333333333333334) 
(1443, 0.8333333333333334) 
(1474, 0.8333333333333334) 
(1510, 0.8333333333333334) 
(1977, 0.8333333333333334) 
(1996, 0.8333333333333334) 
(2066, 0.8333333333333334) 
(2106, 0.8333333333333334) 
(2390, 0.8333333333333334) 
(2565, 0.8333333333333334) 
(3143, 0.8333333333333334) 
(3588, 0.8333333333333334) 
(3781, 0.8333333333333334) 
(3865, 0.8333333333333334) 
(3946, 0.8333333333333334) 
(3952, 0.8333333333333334) 
(3953, 0.8333333333333334) 
(3954, 0.8333333333333334) 
(4011, 0.8333333333333334) 
(2020, 0.8329436426670966) 
(2578, 0.832485410743678) 
(2258, 0.8324829931972789) 
(2074, 0.8324514991181657) 
(1381, 0.8319088319088319) 
(2329, 0.8317597692105954) 
(2485, 0.8311507084585659) 
(55, 0.8308823529411765) 
(1880, 0.8306451612903226) 
(1884, 0.8306451612903226) 
(101, 0.8304093567251462) 
(2016, 0.8300653594771242) 
(2348, 0.8296688741721854) 
(2908, 0.8290598290598291) 
(3250, 0.8288770053475936) 
(2012, 0.8285714285714286) 
(3917, 0.8285714285714286) 
(2110, 0.8283499446290143) 
(2121, 0.8281061033620898) 
(2392, 0.8279980888676541) 
(2356, 0.8279613763089896) 
(2165, 0.8271407480314961) 
(2574, 0.8254330858557015) 
(2521, 0.8252279635258358) 
(2655, 0.8250641573994867) 
(330, 0.825) 
(486, 0.825) 
(3898, 0.825) 
(2701, 0.8246153846153846) 
(194, 0.8245614035087719) 
(290, 0.8241758241758241) 
(3773, 0.8241758241758241) 
(2638, 0.8240233661920409) 
(2374, 0.8238522954091816) 
(676, 0.8235294117647058) 
(901, 0.8235294117647058) 
(2362, 0.8233333333333334) 
(902, 0.8231884057971014) 
(1925, 0.8230967741935484) 
(2075, 0.8226950354609929) 
(938, 0.8226600985221675) 
(2363, 0.8222350479763365) 
(10, 0.8222222222222222) 
(459, 0.8222222222222222) 
(956, 0.8222222222222222) 
(1061, 0.8222222222222222) 
(2014, 0.8222222222222222) 
(3128, 0.8222222222222222) 
(2050, 0.8221343873517787) 
(217, 0.8214285714285714) 
(702, 0.8214285714285714) 
(867, 0.8214285714285714) 
(880, 0.8214285714285714) 
(2182, 0.8214285714285714) 
(3502, 0.8214285714285714) 
(3755, 0.8214285714285714) 
(2083, 0.8213586804584848) 
(1748, 0.8205128205128205) 
(2430, 0.8199338686820973) 
(2623, 0.8197972570065594) 
(2299, 0.8196062002513615) 
(3685, 0.819047619047619) 
(2293, 0.8190076869322153) 
(2631, 0.8187406296851574) 
(2504, 0.8185430463576159) 
(2559, 0.8184035476718403) 
(382, 0.8181818181818182) 
(1050, 0.8181818181818182) 
(1251, 0.8181818181818182) 
(1887, 0.8181818181818182) 
(2695, 0.8181818181818182) 
(2556, 0.8173810921902525) 
(2650, 0.8169934640522876) 
(3309, 0.8169934640522876) 
(3913, 0.8169934640522876) 
(611, 0.8166666666666667) 
(2482, 0.8165094339622642) 
(1438, 0.8163992869875223) 
(3262, 0.8152173913043478) 
(536, 0.8138528138528138) 
(1063, 0.8138528138528138) 
(2005, 0.8135735232509426) 
(226, 0.8131868131868132) 
(2970, 0.8128964059196617) 
(647, 0.8128654970760234) 
(2352, 0.8097376675220986) 
(347, 0.8095238095238095) 
(700, 0.8095238095238095) 
(890, 0.8095238095238095) 
(1654, 0.8095238095238095) 
(2263, 0.8095238095238095) 
(3094, 0.8095238095238095) 
(3923, 0.8095238095238095) 
(2154, 0.8093553459119497) 
(2063, 0.8092198581560284) 
(424, 0.8088235294117647) 
(3473, 0.8088235294117647) 
(1994, 0.808531746031746) 
(2276, 0.8085052202699261) 
(2124, 0.8083262890955198) 
(2515, 0.8076923076923077) 
(2446, 0.8075310559006211) 
(2253, 0.8075289890576515) 
(2140, 0.8074303405572756) 
(1118, 0.8067226890756303) 
(1108, 0.8062015503875969) 
(1873, 0.8060975609756098) 
(2190, 0.8059595095523239) 
(2520, 0.8058388765705838) 
(337, 0.8055555555555556) 
(364, 0.8055555555555556) 
(2013, 0.8055555555555556) 
(2678, 0.8055555555555556) 
(2834, 0.8055555555555556) 
(2164, 0.8055422838031534) 
(1747, 0.8051948051948052) 
(2095, 0.805025040319158) 
(2139, 0.8049260458325398) 
(992, 0.8043010752688172) 
(2546, 0.8039044289044289) 
(2506, 0.8036978756884343) 
(731, 0.803076923076923) 
(1950, 0.803030303030303) 
(2010, 0.8029259896729777) 
(3663, 0.8021978021978022) 
(1798, 0.8021390374331551) 
(2423, 0.80169992609017) 
(1784, 0.8014705882352942) 
(3478, 0.8014705882352942) 
(3571, 0.8014705882352942) 
(3039, 0.8008658008658008) 
(2495, 0.8005747126436782) 
(235, 0.8) 
(250, 0.8) 
(278, 0.8) 
(351, 0.8) 
(390, 0.8) 
(655, 0.8) 
(721, 0.8) 
(735, 0.8) 
(864, 0.8) 
(895, 0.8) 
(1069, 0.8) 
(1157, 0.8) 
(1249, 0.8) 
(1442, 0.8) 
(1582, 0.8) 
(1592, 0.8) 
(1759, 0.8) 
(2158, 0.8) 
(2437, 0.8) 
(2493, 0.8) 
(2580, 0.8) 
(2692, 0.8) 
(2801, 0.8) 
(3290, 0.8) 
(3370, 0.8) 
(3513, 0.8) 
(3606, 0.8) 
(3665, 0.8) 
(3742, 0.8) 
(3787, 0.8) 
(3963, 0.8) 
(3993, 0.8) 
(4013, 0.8) 
(1918, 0.7998447204968944) 
(2630, 0.7998386879956983) 
(1316, 0.7983870967741935) 
(2586, 0.7978839629693519) 
(3316, 0.7975708502024291) 
(2210, 0.7973911213970124) 
(603, 0.7973856209150327) 
(3774, 0.7973856209150327) 
(3972, 0.7973856209150327) 
(2381, 0.7972727272727272) 
(2354, 0.7969311761684643) 
(2460, 0.7969146238377007) 
(2619, 0.7964985784827173) 
(2290, 0.7963886909004514) 
(2561, 0.7961457896941768) 
(2765, 0.7955596669750231) 
(963, 0.7954545454545454) 
(2670, 0.7953216374269005) 
(972, 0.7952380952380952) 
(108, 0.7948717948717948) 
(646, 0.7948717948717948) 
(3778, 0.7948717948717948) 
(1771, 0.7947368421052632) 
(2553, 0.7945960478558947) 
(1928, 0.7944664031620553) 
(2315, 0.7941400304414004) 
(551, 0.7941176470588235) 
(2413, 0.7941176470588235) 
(2104, 0.7936771025168815) 
(2112, 0.793317610062893) 
(2550, 0.7925772563453722) 
(2492, 0.7922300514187773) 
(2090, 0.7917370257795789) 
(2305, 0.7916666666666666) 
(626, 0.7912087912087912) 
(794, 0.7912087912087912) 
(3868, 0.7908496732026143) 
(3957, 0.7908496732026143) 
(2326, 0.7906890130353817) 
(2746, 0.7904761904761904) 
(3701, 0.7904761904761904) 
(1556, 0.79) 
(3102, 0.7899659863945578) 
(3591, 0.7894736842105263) 
(2593, 0.7890129259694477) 
(2045, 0.7886363636363637) 
(2003, 0.7881205673758865) 
(2271, 0.7880198634388579) 
(1401, 0.7878787878787878) 
(1452, 0.7878787878787878) 
(1629, 0.7878787878787878) 
(2043, 0.7869908976147765) 
(2093, 0.7864663585002568) 
(2025, 0.7862068965517242) 
(333, 0.7857142857142857) 
(812, 0.7857142857142857) 
(3030, 0.7857142857142857) 
(3197, 0.7857142857142857) 
(3814, 0.7857142857142857) 
(3827, 0.7857142857142857) 
(2275, 0.7849588719153937) 
(2186, 0.7843137254901961) 
(2349, 0.7843137254901961) 
(2779, 0.783625730994152) 
(3608, 0.783625730994152) 
(1489, 0.7835497835497836) 
(2030, 0.7834512103961819) 
(2646, 0.7833056937534549) 
(2257, 0.7831587767071638) 
(2625, 0.7826213310084278) 
(903, 0.7825311942959001) 
(1550, 0.7823613086770982) 
(2118, 0.7821708954374786) 
(502, 0.7818181818181819) 
(2466, 0.7818181818181819) 
(3202, 0.7818181818181819) 
(1962, 0.781381174170548) 
(2033, 0.780682887484877) 
(1981, 0.7804713804713804) 
(1379, 0.7803921568627451) 
(149, 0.7802197802197802) 
(251, 0.7802197802197802) 
(2500, 0.7800491098833641) 
(3646, 0.7794117647058824) 
(2615, 0.7790246768507638) 
(2201, 0.7788359788359789) 
(2311, 0.7788235294117647) 
(2059, 0.7787672711571675) 
(1285, 0.7784511784511785) 
(59, 0.7777777777777778) 
(433, 0.7777777777777778) 
(554, 0.7777777777777778) 
(1044, 0.7777777777777778) 
(1821, 0.7777777777777778) 
(2113, 0.7777777777777778) 
(2886, 0.7777777777777778) 
(3083, 0.7777777777777778) 
(3251, 0.7777777777777778) 
(3681, 0.7777777777777778) 
(4009, 0.7777777777777778) 
(1971, 0.7776623376623376) 
(2409, 0.7775026978988129) 
(2097, 0.7766714082503556) 
(92, 0.7761904761904762) 
(1984, 0.776106138513299) 
(2420, 0.7759259259259259) 
(3802, 0.775) 
(1164, 0.7749287749287749) 
(2435, 0.7749287749287749) 
(3356, 0.7736842105263158) 
(2653, 0.7730829420970265) 
(2330, 0.7730496453900709) 
(2414, 0.7727736744130187) 
(341, 0.7727272727272727) 
(3112, 0.7727272727272727) 
(2432, 0.7724867724867724) 
(2064, 0.772391746585295) 
(1938, 0.7722616233254531) 
(3325, 0.7719298245614035) 
(2144, 0.7718947718947718) 
(2395, 0.7718285104513213) 
(1097, 0.7714285714285715) 
(1115, 0.7714285714285715) 
(1986, 0.771327829377365) 
